"Car or
Truck","Vehicle
Type",Model Year,Prod (000),,Fuel Economy (MPG),,,,"Weight
(lb)","Vol 
(Cu-Ft)",Engine,,0-60 Time,"HP/
CID","HP/
WT","Ton-MPG
(Lab 55/45)",Cu-Ft-MPG (Lab 55/45),"Cu-Ft-Ton-
MPG
(Lab 55/45)",Drivetrain,,,Transmission,,,,,Fuel Metering,,,,,,VVT,,Vehicle Size,,
,,,,Frac,Lab 55/45,Adj City,Adj Hwy,Adj Comb,,,CID,HP,,,,,,,Front,4WD,Rear,Manual,Automatic,Lockup,CVT,Other,Carb,GDI,Port,TBI,Diesel,Multi-Valve,,Hybrid,Small,Midsize,Large
Truck,Truck SUV,2007,3314,0.217,22.0,15.1,20.3,17.7,4797,,240,252,8.9,1.068,0.0523,53.1,,,6.5%,75.3%,18.2%,2.1%,,92.1%,5.8%,,,,99.7%,,0.3%,61.8%,54.3%,1.4%,4.3%,46.4%,49.2%
Truck,Truck SUV,2008,3072,0.221,22.7,15.5,20.9,18.2,4727,,230,250,8.9,1.105,0.0525,54.0,,,10.1%,75.7%,14.2%,1.7%,,91.6%,6.7%,,,2.0%,97.6%,,0.4%,71.8%,60.5%,2.4%,4.9%,51.1%,44.0%
Truck,Truck SUV,2009,1714,0.184,24.1,16.4,22.2,19.3,4548,,211,244,8.7,1.170,0.0532,55.1,,,17.5%,75.0%,7.5%,1.2%,,88.2%,10.7%,,,7.6%,91.8%,,0.6%,82.4%,69.0%,1.5%,3.3%,56.3%,40.4%
Truck,Truck SUV,2010,2305,0.207,24.7,16.8,22.6,19.7,4555,,212,243,8.7,1.163,0.0531,56.6,,,14.2%,77.7%,8.1%,1.8%,0.8%,86.8%,10.6%,,,12.2%,87.2%,,0.6%,82.7%,83.0%,1.5%,4.3%,56.8%,38.9%
Truck,Truck SUV,2011,3069,0.255,24.9,16.9,22.9,19.8,4665,,217,257,8.5,1.203,0.0547,58.2,,,13.8%,77.3%,8.9%,1.2%,0.0%,87.4%,11.4%,,,15.1%,84.1%,,0.8%,83.6%,92.6%,0.6%,,50.8%,45.4%
Truck,Truck SUV,2012,2771,0.206,25.1,17.0,23.1,20.0,4640,,215,261,8.4,1.232,0.0558,58.5,,,13.8%,79.9%,6.4%,1.6%,,88.4%,9.9%,,,18.3%,80.5%,,1.2%,89.2%,95.8%,0.6%,,,
Truck,Truck SUV,2013,3310,0.218,26.3,17.8,24.1,20.9,4584,,205,257,8.4,1.284,0.0555,60.6,,,13.8%,80.4%,5.8%,1.2%,,84.9%,13.9%,,,23.0%,76.2%,,0.9%,91.6%,98.3%,0.7%,,,
Truck,Truck SUV,2014,3706,0.239,27.3,18.4,25.0,21.7,4483,,196,250,8.4,1.300,0.0554,61.6,,,12.8%,81.8%,5.4%,1.2%,,82.0%,16.8%,,,27.1%,71.8%,,1.1%,88.0%,97.4%,0.6%,,,
Truck,Truck SUV,2015,-,0.236,27.3,18.4,25.0,21.7,4609,,202,262,8.2,1.327,0.0563,63.5,,,9.7%,83.1%,7.1%,1.0%,0.2%,78.8%,20.0%,,,37.7%,60.5%,,1.7%,90.8%,98.3%,1.2%,,,
Truck,Pickup,1975,1343,0.131,14.0,11.1,13.1,11.9,4012,,306,141,,0.491,0.0351,28.8,,,,13.5%,86.5%,41.1%,58.9%,,,,100.0%,,,,,,,,11.9%,4.2%,83.9%
Truck,Pickup,1976,1866,0.151,14.6,11.7,13.4,12.4,4122,,316,139,,0.466,0.0339,30.9,,,,20.9%,79.1%,38.8%,61.2%,,,,100.0%,,,,,,,,9.3%,2.9%,87.8%
Truck,Pickup,1977,2026,0.143,16.0,12.9,14.5,13.6,4092,,313,146,,0.496,0.0357,33.4,,,,21.4%,78.6%,35.9%,64.1%,,,,100.0%,,,,,,,,11.7%,3.4%,84.9%
Truck,Pickup,1978,2268,0.157,15.7,12.8,14.1,13.3,4104,,306,144,13.4,0.496,0.0350,33.1,,,,27.0%,73.0%,37.4%,62.6%,,,,98.8%,,,,1.2%,,,,11.6%,3.3%,85.0%
Truck,Pickup,1979,2207,0.159,15.5,12.7,13.9,13.2,4142,,287,136,14.9,0.502,0.0327,32.9,,,,12.6%,87.4%,39.9%,58.8%,1.3%,,,97.5%,,,,2.5%,,,,16.2%,4.6%,79.2%
Truck,Pickup,1980,1437,0.127,19.4,15.5,17.9,16.5,3740,,236,118,15.6,0.549,0.0315,36.7,,,1.8%,21.1%,77.1%,58.8%,19.3%,21.9%,,,94.8%,,,1.0%,4.2%,,,,31.5%,6.8%,61.7%
Truck,Pickup,1981,1440,0.136,21.0,16.7,19.5,17.9,3679,,237,115,15.6,0.521,0.0313,39.3,,,2.3%,16.8%,80.8%,57.7%,14.8%,27.5%,,,92.3%,,,0.6%,7.1%,,,,25.6%,9.1%,65.3%
Truck,Pickup,1982,1441,0.148,21.7,17.2,20.3,18.5,3629,,228,117,16.4,0.545,0.0322,40.1,,,2.2%,17.7%,80.1%,53.9%,16.6%,29.5%,,,89.5%,,,0.2%,10.3%,,,,24.0%,21.9%,54.1%
Truck,Pickup,1983,1628,0.158,22.2,17.5,20.9,18.9,3544,,212,112,15.2,0.566,0.0317,40.0,,,1.9%,22.1%,76.1%,56.3%,15.3%,28.0%,,0.4%,95.5%,,,0.1%,4.4%,,,,19.2%,38.2%,42.7%
Truck,Pickup,1984,2043,0.146,21.5,16.9,20.2,18.3,3619,,215,114,15.1,0.563,0.0314,39.4,,,0.6%,24.7%,74.7%,54.9%,15.9%,29.3%,,,96.3%,,1.0%,,2.7%,,,,20.7%,34.4%,44.9%
Truck,Pickup,1985,2078,0.144,21.4,16.9,20.1,18.2,3642,,221,123,14.2,0.588,0.0336,39.6,,,,25.4%,74.6%,51.6%,14.8%,33.7%,,,82.8%,,11.4%,4.5%,1.2%,,,,23.9%,29.7%,46.4%
Truck,Pickup,1986,2532,0.165,22.2,17.5,20.8,18.9,3574,,206,120,13.6,0.623,0.0336,40.1,,,,25.2%,74.8%,58.4%,11.2%,30.4%,,,60.6%,,21.2%,17.6%,0.6%,,,,29.4%,31.1%,39.5%
Truck,Pickup,1987,2147,0.144,22.5,17.5,21.2,19.0,3526,,202,123,13.5,0.639,0.0347,40.1,,,0.0%,25.5%,74.5%,58.5%,12.7%,28.9%,,,40.8%,,26.9%,32.0%,0.3%,,,,20.5%,49.0%,30.5%
Truck,Pickup,1988,2459,0.161,21.5,16.5,20.4,18.1,3737,,229,138,13.1,0.627,0.0365,40.5,,,0.0%,28.4%,71.6%,51.0%,10.3%,38.8%,,,16.1%,,35.4%,48.3%,0.2%,,,,13.8%,42.9%,43.3%
Truck,Pickup,1989,2232,0.154,21.2,16.2,20.0,17.8,3803,,236,143,12.4,0.633,0.0373,40.5,,,,28.9%,71.1%,52.4%,6.1%,41.5%,,,10.0%,,38.8%,51.1%,0.2%,,,,15.9%,39.8%,44.4%
Truck,Pickup,1990,1835,0.145,20.7,15.7,19.7,17.4,3928,,247,152,11.3,0.647,0.0384,41.1,,,,27.9%,72.1%,45.8%,4.3%,49.8%,,,6.0%,,52.4%,41.4%,0.2%,,,,15.8%,32.7%,51.5%
Truck,Pickup,1991,1920,0.153,21.7,16.3,20.7,18.2,3779,,232,146,11.4,0.658,0.0385,41.4,,,,24.8%,75.2%,52.2%,1.4%,46.4%,,,3.2%,,47.9%,48.7%,0.2%,,,,16.1%,45.5%,38.4%
Truck,Pickup,1992,1840,0.151,20.9,15.5,20.0,17.5,3976,,245,151,11.2,0.644,0.0379,41.8,,,,26.3%,73.7%,47.1%,0.9%,52.1%,,,3.2%,,58.0%,38.6%,0.1%,,,,13.7%,38.9%,47.4%
Truck,Pickup,1993,2002,0.152,21.1,15.6,20.2,17.6,3996,,244,156,10.4,0.666,0.0390,42.4,,,0.0%,27.6%,72.4%,43.9%,0.8%,55.3%,,,2.1%,,61.2%,36.7%,,,,,13.1%,37.1%,49.7%
Truck,Pickup,1994,2669,0.189,21.0,15.5,19.9,17.4,4056,,248,163,10.2,0.687,0.0401,43.0,,,,29.3%,70.7%,40.0%,1.0%,59.0%,,,0.8%,,69.5%,29.7%,,2.2%,,,13.4%,39.0%,47.6%
Truck,Pickup,1995,2271,0.150,20.4,14.9,19.3,16.9,4182,,257,167,10.3,0.687,0.0399,43.1,,,,33.0%,67.0%,39.6%,0.9%,59.5%,,,,,69.5%,30.5%,,5.5%,,,13.1%,30.8%,56.0%
Truck,Pickup,1996,1955,0.149,20.8,15.1,19.7,17.1,4190,,251,178,10.5,0.737,0.0422,43.9,,,,29.3%,70.7%,34.6%,1.4%,64.0%,,0.0%,,,99.8%,,0.2%,13.3%,,,11.3%,35.7%,53.0%
Truck,Pickup,1997,2408,0.167,20.4,14.7,19.4,16.8,4415,,264,196,10.2,0.756,0.0439,45.3,,,,34.7%,65.3%,25.3%,,74.7%,,,,,99.9%,,0.1%,6.7%,,,5.4%,28.7%,65.9%
Truck,Pickup,1998,2415,0.167,20.7,14.8,19.6,17.0,4282,,252,190,10.5,0.773,0.0439,44.6,,,,34.8%,65.2%,27.3%,1.5%,71.1%,,,,,100.0%,,0.0%,11.2%,,,10.8%,34.3%,54.9%
Truck,Pickup,1999,2544,0.167,19.9,14.2,18.6,16.3,4486,,267,205,10.3,0.776,0.0453,44.7,,,,45.3%,54.7%,17.5%,0.9%,81.5%,,,,,100.0%,,0.0%,7.7%,,,8.4%,29.9%,61.7%
Truck,Pickup,2000,2612,0.158,20.5,14.6,18.9,16.7,4340,,255,203,9.8,0.803,0.0462,44.4,,,,38.4%,61.6%,16.7%,0.8%,82.5%,,,,,100.0%,,,12.7%,,,3.9%,29.3%,66.8%
Truck,Pickup,2001,2519,0.161,19.6,13.9,18.1,16.0,4551,,269,216,9.4,0.812,0.0470,44.7,,,,38.7%,61.3%,12.0%,0.8%,87.1%,,,,,100.0%,,,12.8%,,,3.2%,21.6%,75.1%
Truck,Pickup,2002,2380,0.148,19.5,13.8,17.8,15.8,4690,,271,226,9.4,0.838,0.0480,45.6,,,,42.4%,57.6%,9.5%,0.9%,89.6%,,,,,100.0%,,,17.8%,,,8.3%,19.6%,72.1%
Truck,Pickup,2003,2474,0.157,19.9,14.0,18.2,16.1,4642,,264,223,9.5,0.847,0.0475,46.3,,,,39.5%,60.5%,10.3%,0.9%,88.8%,,,,,100.0%,,,14.5%,,,7.9%,21.3%,70.8%
Truck,Pickup,2004,2505,0.159,19.6,13.7,17.8,15.7,4939,,281,249,9.1,0.885,0.0501,48.2,,,,46.3%,53.7%,7.0%,0.9%,92.1%,,,,,100.0%,,,32.4%,18.9%,0.0%,6.4%,15.1%,78.5%
Truck,Pickup,2005,2300,0.145,19.7,13.6,18.1,15.8,4988,,284,260,8.8,0.917,0.0520,49.1,,,,46.7%,53.3%,5.7%,,94.3%,,,,,100.0%,,,40.9%,39.1%,0.0%,0.4%,9.4%,90.2%
Truck,Pickup,2006,2188,0.145,20.1,13.9,18.4,16.1,4968,,278,256,8.9,0.925,0.0514,49.8,,,,45.8%,54.2%,6.2%,,93.8%,,,,,100.0%,,,49.0%,47.5%,0.1%,0.3%,12.5%,87.1%
Truck,Pickup,2007,2113,0.138,20.1,13.8,18.5,16.2,5144,,286,269,8.9,0.938,0.0519,51.6,,,,45.4%,54.6%,4.4%,,95.6%,,,,,100.0%,,,40.0%,40.0%,0.0%,,12.5%,87.5%
Truck,Pickup,2008,1794,0.129,20.5,14.1,18.9,16.5,5161,,286,276,8.9,0.962,0.0531,53.0,,,,47.5%,52.5%,4.0%,,96.0%,,,,,100.0%,,,41.3%,37.8%,,,15.5%,84.5%
Truck,Pickup,2009,989,0.106,21.0,14.4,19.5,16.9,5176,,287,278,8.5,0.971,0.0534,54.3,,,,50.6%,49.4%,4.1%,,95.7%,0.2%,,,,100.0%,,,42.4%,36.8%,0.2%,,18.6%,81.4%
Truck,Pickup,2010,1276,0.115,20.9,14.3,19.4,16.9,5309,,293,289,8.4,0.987,0.0542,55.5,,,,57.0%,43.0%,2.4%,,97.5%,0.1%,,,,100.0%,,,59.9%,62.2%,0.1%,,12.0%,88.0%
Truck,Pickup,2011,1479,0.123,21.4,14.6,19.9,17.2,5268,,282,304,8.2,1.086,0.0571,56.3,,,,60.3%,39.7%,2.1%,,97.8%,0.1%,,,7.6%,92.4%,,,50.1%,86.1%,0.1%,,1.4%,98.6%
Truck,Pickup,2012,1357,0.101,21.3,14.5,19.9,17.2,5335,,286,317,7.9,1.122,0.0590,56.9,,,,62.4%,37.6%,1.5%,,98.5%,0.1%,,,10.3%,89.7%,,,55.7%,94.6%,0.1%,,,
Truck,Pickup,2013,1577,0.104,21.7,14.7,20.2,17.4,5429,,282,328,7.8,1.186,0.0600,58.9,,,,63.2%,36.8%,1.2%,,98.8%,0.0%,,,15.3%,84.7%,,,61.8%,96.5%,0.0%,,,
Truck,Pickup,2014,1929,0.124,22.4,15.2,20.9,18.0,5485,,293,334,7.6,1.158,0.0606,61.7,,,,64.9%,35.1%,0.7%,,99.3%,,,,45.0%,55.0%,,,48.8%,99.3%,,,,
Truck,Pickup,2015,-,0.134,23.6,16.0,22.0,18.9,5263,,284,329,7.5,1.192,0.0624,62.3,,,,64.8%,35.2%,0.9%,,99.1%,,,,63.4%,35.1%,,1.5%,44.9%,98.5%,,,,
Truck,All,1975,1977,0.193,13.7,10.9,12.7,11.6,4073,,311,142,,0.476,0.0349,28.5,,,,17.2%,82.8%,36.9%,63.1%,,,,99.9%,,,0.1%,,,,,10.6%,24.1%,65.3%
Truck,All,1976,2600,0.211,14.4,11.6,13.2,12.2,4155,,320,141,,0.458,0.0340,30.5,,,,23.0%,77.0%,34.7%,65.3%,,,,99.9%,,,0.1%,,,,,8.7%,20.2%,71.0%
Truck,All,1977,2805,0.199,15.6,12.6,14.2,13.3,4136,,318,147,,0.482,0.0356,33.0,,,,23.8%,76.2%,31.6%,68.4%,,,,99.9%,,,0.1%,,,,,10.6%,20.4%,69.0%
Truck,All,1978,3257,0.225,15.3,12.4,13.7,12.9,4152,,315,146,13.4,0.481,0.0351,32.4,,,,29.1%,70.9%,32.1%,67.9%,,,,99.1%,,,0.1%,0.8%,,,,10.6%,22.7%,66.7%
Truck,All,1979,3072,0.221,14.7,12.1,13.1,12.5,4257,,299,138,15.0,0.485,0.0325,32.1,,,,18.1%,81.9%,35.1%,62.8%,2.1%,,,97.9%,,,0.3%,1.8%,,,,14.9%,19.5%,65.6%
Truck,All,1980,1863,0.165,18.6,14.8,17.1,15.8,3869,,248,121,15.7,0.528,0.0313,36.3,,,1.4%,25.0%,73.6%,53.0%,22.4%,24.5%,,,94.9%,,,1.7%,3.5%,,,,28.4%,17.6%,54.0%
Truck,All,1981,1821,0.172,20.1,16.0,18.6,17.1,3806,,247,119,15.7,0.508,0.0311,38.8,,,1.9%,20.1%,78.0%,51.6%,17.3%,31.1%,,,93.3%,,,1.1%,5.6%,,,,23.2%,19.1%,57.7%
Truck,All,1982,1901,0.195,20.5,16.3,19.0,17.4,3813,,244,120,16.6,0.524,0.0317,39.7,,,1.7%,20.2%,78.1%,45.9%,20.7%,33.4%,,,89.9%,,,0.7%,9.4%,,,,20.6%,31.1%,48.2%
Truck,All,1983,2267,0.220,20.8,16.5,19.6,17.7,3773,,232,118,15.3,0.542,0.0313,39.9,,,1.4%,26.1%,72.5%,46.3%,17.4%,36.0%,,0.3%,94.6%,,,0.6%,4.8%,,,,16.3%,45.6%,38.1%
Truck,All,1984,3289,0.235,20.4,16.1,19.3,17.4,3787,,225,118,15.3,0.556,0.0310,39.3,,,5.0%,31.5%,63.5%,42.5%,22.9%,34.6%,,0.0%,95.0%,,2.0%,0.6%,2.4%,,,,19.7%,45.6%,34.7%
Truck,All,1985,3581,0.248,20.5,16.2,19.3,17.5,3803,,225,124,14.7,0.585,0.0326,39.6,,,7.3%,31.3%,61.4%,37.6%,21.2%,41.1%,,,86.5%,,8.9%,3.5%,1.1%,,,,19.7%,47.2%,33.1%
Truck,All,1986,4291,0.279,21.4,16.8,20.1,18.2,3741,,212,123,13.9,0.619,0.0330,40.4,,,5.9%,30.7%,63.4%,43.0%,15.5%,41.5%,,,59.4%,,22.1%,17.8%,0.7%,,,,23.8%,47.8%,28.4%
Truck,All,1987,4039,0.272,21.6,16.8,20.4,18.3,3718,,211,131,13.6,0.652,0.0351,40.5,,,7.6%,32.2%,60.2%,40.5%,15.7%,43.8%,,0.1%,33.6%,,33.3%,32.8%,0.3%,,,,19.8%,59.2%,21.1%
Truck,All,1988,4450,0.291,21.1,16.2,20.1,17.8,3850,,228,141,13.3,0.649,0.0365,40.9,,,9.2%,34.1%,56.7%,35.8%,11.7%,52.5%,,,12.4%,,43.2%,44.3%,0.2%,,,,14.5%,57.0%,28.5%
Truck,All,1989,4327,0.299,20.9,15.9,19.8,17.6,3932,,234,146,12.7,0.653,0.0371,41.3,,,10.1%,32.8%,57.1%,32.8%,10.8%,56.4%,,0.0%,6.5%,,45.9%,47.5%,0.2%,,,,13.5%,58.7%,27.9%
Truck,All,1990,3740,0.296,20.7,15.6,19.8,17.4,4014,,237,151,11.8,0.667,0.0377,41.8,,,15.8%,31.8%,52.4%,28.1%,4.4%,67.5%,,0.0%,3.8%,,55.0%,40.9%,0.2%,,,,12.9%,57.0%,30.1%
Truck,All,1991,3825,0.304,21.2,15.9,20.2,17.8,3961,,229,150,11.8,0.681,0.0379,42.3,,,10.3%,37.3%,52.3%,31.5%,1.7%,66.8%,,,1.7%,,55.3%,42.8%,0.1%,,,,10.8%,66.5%,22.7%
Truck,All,1992,3822,0.314,20.8,15.4,19.9,17.3,4078,,236,155,11.5,0.682,0.0380,42.6,,,14.5%,33.4%,52.1%,27.5%,1.2%,71.3%,,,1.6%,,65.7%,32.6%,0.1%,,,,9.8%,63.0%,27.2%
Truck,All,1993,4281,0.324,21.0,15.5,20.1,17.5,4098,,235,160,10.6,0.705,0.0391,43.2,,,16.8%,32.7%,50.6%,24.7%,1.1%,74.2%,,,1.0%,,71.5%,27.5%,,,,,8.7%,62.6%,28.8%
Truck,All,1994,5378,0.381,20.7,15.2,19.6,17.2,4149,,241,166,10.4,0.713,0.0401,43.2,,,13.8%,39.2%,47.0%,23.7%,1.0%,75.3%,,,0.4%,,76.2%,23.4%,,5.2%,,,9.2%,61.9%,28.9%
Truck,All,1995,5529,0.365,20.5,14.9,19.4,17.0,4201,,245,168,10.6,0.712,0.0400,43.3,,,18.4%,42.3%,39.3%,20.7%,0.9%,78.5%,,,,,79.4%,20.6%,,8.0%,,,8.5%,62.5%,29.1%
Truck,All,1996,4967,0.378,20.8,15.0,19.8,17.2,4255,,245,179,10.7,0.755,0.0421,44.5,,,20.9%,39.2%,39.8%,15.6%,1.0%,83.4%,,0.0%,,,99.9%,,0.1%,11.2%,,,6.1%,66.0%,27.9%
Truck,All,1997,5762,0.399,20.5,14.7,19.4,16.8,4394,,251,189,10.5,0.769,0.0428,45.1,,,14.2%,45.2%,40.6%,14.1%,0.1%,85.8%,,,,,100.0%,,0.0%,11.1%,,,8.2%,52.2%,39.7%
Truck,All,1998,6030,0.417,20.8,14.8,19.7,17.1,4317,,244,188,10.7,0.794,0.0435,45.1,,,19.3%,45.1%,35.5%,13.6%,0.6%,85.8%,,,,,100.0%,,0.0%,14.8%,,,8.2%,57.0%,34.8%
Truck,All,1999,6350,0.417,20.3,14.5,19.1,16.6,4457,,252,199,10.5,0.811,0.0446,45.4,,,17.5%,48.1%,34.4%,9.2%,0.4%,90.4%,,,,,100.0%,,0.0%,15.7%,3.0%,,7.3%,53.5%,39.2%
Truck,All,2000,6829,0.412,20.7,14.7,19.3,16.8,4421,,245,199,10.1,0.830,0.0448,45.8,,,20.0%,46.3%,33.8%,8.2%,0.3%,91.5%,,,,,100.0%,,,18.6%,4.6%,,5.4%,53.7%,40.9%
Truck,All,2001,6458,0.414,20.3,14.4,18.8,16.5,4543,,249,212,9.6,0.873,0.0465,46.3,,,16.3%,48.8%,34.8%,6.3%,0.3%,93.4%,,,,,100.0%,,,25.9%,9.3%,,5.2%,44.4%,50.4%
Truck,All,2002,7211,0.448,20.3,14.3,18.8,16.5,4612,,249,223,9.5,0.911,0.0482,47.0,,,15.4%,51.6%,33.1%,4.7%,0.3%,94.9%,0.0%,,,,100.0%,,,32.8%,16.0%,,6.1%,40.9%,53.0%
Truck,All,2003,7277,0.461,20.7,14.4,19.1,16.7,4655,,248,224,9.4,0.920,0.0481,48.1,,,15.4%,50.4%,34.1%,4.6%,0.3%,94.4%,0.6%,,,,100.0%,,,34.6%,19.7%,,5.5%,45.2%,49.3%
Truck,All,2004,7533,0.480,20.5,14.2,18.9,16.5,4783,,258,240,9.2,0.946,0.0500,49.0,,,12.5%,56.5%,31.0%,3.5%,0.3%,95.6%,0.6%,,,,100.0%,,0.0%,46.2%,32.9%,0.0%,4.9%,43.4%,51.6%
Truck,All,2005,7053,0.444,21.0,14.4,19.5,16.9,4763,,251,242,9.1,0.976,0.0506,50.2,,,20.1%,52.2%,27.7%,2.9%,,95.3%,1.8%,,,,99.9%,,0.1%,51.1%,41.2%,0.1%,2.6%,46.0%,51.4%
Truck,All,2006,6360,0.421,21.4,14.6,19.7,17.2,4758,,247,240,9.1,0.985,0.0503,51.2,,,18.9%,53.1%,28.0%,3.3%,,93.7%,3.1%,,,,99.9%,,0.1%,58.4%,51.5%,1.5%,2.2%,47.1%,50.7%
Truck,All,2007,6275,0.411,21.6,14.8,20.0,17.4,4871,,253,254,9.0,1.020,0.0519,52.8,,,16.1%,55.5%,28.4%,2.6%,,93.8%,3.7%,,,,99.9%,,0.1%,53.3%,48.7%,0.8%,2.3%,41.7%,56.0%
Truck,All,2008,5656,0.407,22.2,15.1,20.5,17.8,4837,,246,254,9.0,1.046,0.0522,53.9,,,18.4%,56.8%,24.8%,2.2%,,94.1%,3.6%,,,1.1%,98.7%,,0.2%,59.5%,51.6%,1.3%,3.0%,45.9%,51.2%
Truck,All,2009,3071,0.330,23.1,15.7,21.4,18.5,4753,,236,252,8.7,1.089,0.0527,55.1,,,21.0%,58.5%,20.5%,2.0%,,92.0%,6.0%,,,4.2%,95.4%,,0.3%,66.7%,56.0%,0.9%,2.6%,48.2%,49.2%
Truck,All,2010,4141,0.372,23.4,15.9,21.7,18.8,4784,,237,253,8.8,1.087,0.0526,56.3,,,20.9%,61.0%,18.0%,1.8%,0.4%,91.9%,5.9%,,,6.8%,92.9%,,0.4%,71.5%,70.5%,0.9%,2.9%,48.0%,49.2%
Truck,All,2011,5069,0.422,23.9,16.2,22.1,19.1,4824,,236,271,8.4,1.171,0.0557,57.8,,,17.7%,65.0%,17.3%,1.3%,0.0%,91.4%,7.3%,,,11.3%,88.1%,,0.5%,75.2%,90.7%,0.4%,,40.8%,56.6%
Truck,All,2012,4790,0.356,24.1,16.3,22.3,19.3,4809,,234,276,8.3,1.198,0.0569,58.2,,,20.9%,64.3%,14.8%,1.4%,,92.4%,6.2%,,,13.5%,85.8%,,0.7%,80.6%,94.9%,0.4%,,,
Truck,All,2013,5458,0.359,24.8,16.7,22.9,19.8,4824,,228,277,8.2,1.250,0.0569,60.0,,,18.1%,67.5%,14.5%,1.1%,,90.2%,8.7%,,,18.4%,81.1%,,0.5%,83.5%,96.9%,0.4%,,,
Truck,All,2014,6307,0.407,25.5,17.2,23.6,20.4,4790,,227,277,8.1,1.249,0.0572,61.4,,,17.5%,68.3%,14.2%,0.9%,,88.9%,10.2%,,,29.7%,69.6%,,0.6%,76.9%,98.0%,0.4%,,,
Truck,All,2015,-,0.404,26.0,17.5,23.9,20.7,4808,,229,283,8.0,1.273,0.0584,62.9,,,13.9%,70.2%,15.9%,0.9%,0.1%,86.6%,12.5%,,,43.3%,55.2%,,1.5%,76.4%,98.5%,0.7%,,,
All,All,1975,10224,1.000,15.3,12.0,14.6,13.1,4060,,293,137,,0.507,0.0335,31.6,,,5.3%,3.3%,91.4%,23.0%,76.8%,0.2%,,,95.7%,,4.1%,0.0%,0.2%,,,,46.8%,23.5%,29.8%
All,All,1976,12334,1.000,16.7,13.2,15.7,14.2,4079,,294,135,,0.493,0.0328,34.4,,,4.6%,4.8%,90.6%,20.9%,79.1%,,,,97.3%,,2.5%,0.0%,0.2%,,,,45.6%,24.2%,30.3%
All,All,1977,14123,1.000,17.7,14.0,16.6,15.1,3982,,287,136,,0.510,0.0339,35.7,,,5.5%,4.7%,89.8%,19.8%,80.2%,,,,96.2%,,3.4%,0.0%,0.4%,,,,43.7%,23.7%,32.5%
All,All,1978,14448,1.000,18.6,14.7,17.5,15.8,3715,,266,129,13.6,0.525,0.0344,35.1,,,7.4%,6.6%,86.0%,22.7%,71.9%,5.5%,,,95.2%,,3.9%,0.0%,0.9%,,,,37.0%,31.7%,31.2%
All,All,1979,13882,1.000,18.7,14.9,17.4,15.9,3655,,252,124,14.6,0.532,0.0335,34.7,,,9.2%,4.3%,86.5%,24.2%,68.1%,7.3%,,0.4%,94.2%,,3.7%,0.1%,2.0%,,,,37.3%,30.9%,31.7%
All,All,1980,11306,1.000,22.5,17.6,21.5,19.2,3228,,198,104,15.6,0.574,0.0320,36.6,,,25.0%,4.9%,70.1%,34.6%,46.8%,18.1%,,0.5%,89.7%,,5.2%,0.8%,4.3%,,,,50.1%,31.6%,18.3%
All,All,1981,10554,1.000,24.1,18.8,23.0,20.5,3202,,193,102,15.6,0.580,0.0318,38.9,,,31.0%,4.0%,65.0%,33.6%,32.9%,33.0%,,0.5%,86.7%,,5.1%,2.4%,5.9%,,,,46.6%,33.4%,20.0%
All,All,1982,9732,1.000,24.7,19.2,23.9,21.1,3202,,188,103,16.6,0.593,0.0320,40.0,,,37.0%,4.6%,58.4%,32.4%,19.4%,47.8%,,0.4%,80.6%,,5.8%,8.0%,5.6%,,,,49.6%,31.0%,19.5%
All,All,1983,10302,1.000,24.6,19.0,23.9,21.0,3257,,193,107,14.9,0.599,0.0327,40.5,,,37.0%,8.1%,54.8%,30.5%,17.0%,52.1%,,0.4%,75.2%,,7.3%,14.8%,2.7%,,,,44.9%,34.9%,20.1%
All,All,1984,14020,1.000,24.6,19.1,24.0,21.0,3262,,190,109,14.7,0.618,0.0332,40.7,,,42.1%,8.2%,49.8%,28.4%,18.8%,52.8%,,0.0%,67.6%,,11.9%,18.7%,1.8%,,,,48.4%,33.4%,18.2%
All,All,1985,14460,1.000,25.0,19.3,24.4,21.3,3271,,189,114,14.1,0.650,0.0347,41.4,,,47.8%,9.3%,42.9%,26.5%,19.1%,54.5%,,,56.1%,,18.2%,24.8%,0.9%,,,,46.5%,33.9%,19.7%
All,All,1986,15365,1.000,25.7,19.8,25.0,21.8,3238,,180,114,13.4,0.678,0.0351,42.0,,,52.6%,9.3%,38.0%,29.8%,16.7%,53.5%,,,41.4%,,32.5%,25.7%,0.4%,3.4%,,,49.3%,33.7%,17.0%
All,All,1987,14865,1.000,25.9,19.8,25.3,22.0,3221,,175,118,13.4,0.710,0.0362,42.1,,,57.7%,9.6%,32.8%,29.1%,15.5%,55.4%,,0.0%,28.4%,,39.9%,31.4%,0.3%,10.6%,,,51.4%,34.1%,14.5%
All,All,1988,15295,1.000,25.9,19.6,25.2,21.9,3283,,180,123,13.3,0.726,0.0372,42.9,,,60.0%,10.5%,29.5%,27.6%,10.2%,62.2%,,,15.0%,,50.6%,34.3%,0.1%,14.0%,,,50.0%,32.7%,17.3%
All,All,1989,14453,1.000,25.4,19.1,24.8,21.4,3351,,185,129,12.5,0.743,0.0382,43.0,,,60.2%,10.5%,29.3%,24.6%,9.9%,65.5%,0.1%,0.0%,8.7%,,57.3%,33.9%,0.1%,16.9%,,,44.7%,37.6%,17.7%
